Score,Kommune,Parti,Anden liste,Navn,"1. ""Kommunen skal prioritere, at skolerne får flere midler til indkøb af klimavenlige og bæredygtige råvarer til madkundskab""","2. ""Ved kommunale bevillinger til arrangementer, som involverer udgifter til mad/forplejning, skal de klimavenlige kostråd følges, og der skal altid være et plantebaseret alternativ""","3. ""Fødevareministeriet har fået beregnet de sundhedsøkonomiske gevinster ved, at danskerne følger kostrådene. Der skal laves en tilsvarende beregning af de sundhedsøkonomiske gevinster for min kommune""","4. ""De offentlige køkkener i kommunen skal tilbyde en vegetarisk valgmulighed; som kun består af vegetabilske fødevarer (På plejehjem, ældrecentre og ved kommunal madudbringning til ældre)""","5. ""De offentlige køkkener i kommunen skal tilbyde en vegetarisk valgmulighed; som kun består af vegetabilske fødevarer (I skoler)""","6. ""De offentlige køkkener i kommunen skal tilbyde en vegetarisk valgmulighed; som kun består af vegetabilske fødevarer (I daginstitutioner)""","7. ""De offentlige køkkener i kommunen skal tilbyde en vegetarisk valgmulighed; som kun består af vegetabilske fødevarer (På kommunale arbejdspladser)""","8. ""Alle offentlige køkkener i kommunen skal som udgangspunkt servere en 100 % plantebaseret kost, hvor eventuelle animalske fødevarer er et aktivt tilvalg""","9. ""Alle skolers mælkeordninger skal tilbyde en plantebaseret drik""","10. Nogle d1ginstitutioner h1r en politik om, 1t børnene sk1l s1mles om et fælles måltid. I nogle 1f de institutioner tilbydes der dog ikke s1mtidigt det mest klim1venlige måltid – et pl1nteb1seret måltid. Det betyder, 1t f1milier, som h1r v1lgt 1t leve klim1venligt, ikke k1n få deres ønske opfyldt, fordi det er i konflikt med politikken om et fælles måltid. Hv1d sk1l kommunens måltidspolitik være? ","11. ""Kommunen skal opstille en målsætning om 25 % CO2-reduktion i 2025 fra maden i de offentlige køkkener (referenceåret for sammenligningen er 2020)""","12. ""Kommunen skal opstille en målsætning om 50 % CO2-reduktion i 2030 fra maden i de offentlige køkkener (referenceåret for sammenligningen er 2020)""","13. ""Min kommune skal erklære sig som foregangskommune og udarbejde en strategi for plantebaserede fødevarer fra jord til bord""",14. Konkret borgernær case (daginstitution)*,"15 ""Kommunen skal oprette forsøgspuljer til at fremme økologisk plantebaseret iværksætteri""","16. ""Kommunen skal afsætte penge til efteruddannelse af kommunens køkkenpersonale inden for tilberedning af klimavenlig, økologisk og plantebaseret mad"""
6,Ikast-Brande,D. Nye Borgerlige,,Bruno Ostenfeldt Jensen ,0,0,0,1,1,,0,1,0,0,0,1,0,2,0,0
22,Ikast-Brande,F. Socialistisk Folkeparti,,Emma Thorup Jacobsen,2,2,1,2,2,2,2,0,1,0,2,2,1,0,1,2
12,Ikast-Brande,O. Dansk Folkeparti,,Peder Fenger,2,1,2,1,1,1,1,0,0,0,1,0,1,0,0,1
23,Ishøj,A. Socialdemokratiet,,Erkan Yapici,2,2,2,2,2,2,2,0,0,1,2,2,0,2,0,2
18,Ishøj,B. Det Radikale Venstre,,Ali Güvercin,2,1,2,1,1,1,1,1,0,2,1,1,1,1,1,1
18,Ishøj,B. Det Radikale Venstre,,Helle Marianne Olesen ,2,1,1,1,1,0,2,0,1,1,2,2,1,0,1,2
17,Ishøj,V. Venstre,,Maria Ronild,1,1,1,2,2,0,2,0,1,1,2,1,0,1,1,1
9,Ishøj,V. Venstre,,Tina Margrethe Nielsen,1,0,0,1,1,1,1,0,0,0,1,0,0,2,0,1
27,Ishøj,Ø. Enhedslisten,,Anja Skjoldborg Hansen,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2
26,Ishøj,Ø. Enhedslisten,,Martin Patrong Haspang,2,2,1,2,2,2,2,2,1,2,2,2,2,0,2,0
10,Ishøj,A. Socialdemokratiet,,Mikkel Weng Nielsen,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
24,Jammerbugt,A. Socialdemokratiet,,Nanna Holdgaard Meineche,2,1,0,1,2,2,2,1,2,2,2,2,1,2,1,1
22,Jammerbugt,A. Socialdemokratiet,,Per Halsboe-Larsen,2,1,2,2,2,2,1,0,1,1,2,2,1,1,1,1
14,Jammerbugt,A. Socialdemokratiet,,Jens Chr. Golding ,1,1,0,1,1,1,1,0,1,1,1,1,0,2,1,1
14,Jammerbugt,A. Socialdemokratiet,,Susanne Møller Jensen,2,1,1,1,2,2,1,0,1,0,1,0,0,0,1,1
24,Jammerbugt,B. Det Radikale Venstre,,Vibeke Koch Dalsgaard,2,2,2,2,2,2,2,0,1,1,2,2,1,1,1,1
22,Jammerbugt,C. Det Konservative Folkeparti,,Palle L. Nielsen,2,1,1,2,2,1,1,0,1,2,1,1,1,2,2,2
14,Jammerbugt,F. Socialistisk Folkeparti,,Charlotte Holst Høybye,2,2,1,2,,2,,0,1,1,0,0,0,2,0,1
10,Jammerbugt,I. Liberal Alliance,,Annette Vendelbo,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,1
12,Jammerbugt,K. Kristendemokraterne,,Bente Ågren Jensen,2,1,0,1,1,1,1,0,1,0,2,2,0,0,,
5,Jammerbugt,O. Dansk Folkeparti,,Jens Ørtoft,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
16,Jammerbugt,V. Venstre,,Kim Jensen,1,1,2,1,1,1,1,0,1,1,1,1,0,1,2,1
29,Jammerbugt,Ø. Enhedslisten,,Lis Jensen ,2,1,2,2,2,,2,2,2,2,2,2,2,2,2,2
12,Jammerbugt,A. Socialdemokratiet,,Mette Vestenbæk ,1,1,1,1,1,1,1,0,1,2,1,1,0,0,,
9,Jammerbugt,C. Det Konservative Folkeparti,,Anne Mette Bob Kronborg,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1
23,Kalundborg,A. Socialdemokratiet,,Aase Due,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2
10,Kalundborg,A. Socialdemokratiet,,Steffen Bagger,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0
10,Kalundborg,A. Socialdemokratiet,,Esben Hansen ,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
5,Kalundborg,A. Socialdemokratiet,,Nikolaj Lykke Vad,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
16,Kalundborg,C. Det Konservative Folkeparti,,Victor Hvistendal,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1
10,Kalundborg,F. Socialistisk Folkeparti,,Jonas Ghiyati,1,1,2,1,1,1,1,0,0,2,,,,,,
10,Kalundborg,F. Socialistisk Folkeparti,,Morten Larsen,2,2,2,0,1,1,1,1,0,,,,,,,
12,Kalundborg,V. Venstre,,Bodil Hellemann,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
0,Kalundborg,D. Nye Borgerlige,,Henriette Ergemann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kerteminde,A. Socialdemokratiet,,Sebastian Nielsen,2,2,1,1,1,1,1,0,1,1,2,0,0,2,1,0
9,Kerteminde,C. Det Konservative Folkeparti,,William Qvick-Godthaab,1,0,0,1,1,0,1,0,0,1,2,1,0,0,0,1
3,Kerteminde,O. Dansk Folkeparti,,Randi Kryger jørgensen,0,1,1,0,0,0,0,0,1,0,,,,,,
18,Kerteminde,V. Venstre,,Anita Ebbesen,2,2,1,1,1,1,1,0,1,1,2,2,0,1,1,1
9,Kerteminde,V. Venstre,,Henrik Hadberg,1,1,1,0,1,1,1,0,1,2,,,,,,
0,Kerteminde,Ø. Enhedslisten,,Jesper Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,Kerteminde,O. Dansk Folkeparti,,Terje Pedersen,0,0,0,0,0,0,0,0,0,0,,,,,,
30,Kolding,A. Socialdemokratiet,,Poul Fremmelev,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
8,Kolding,A. Socialdemokratiet,,Gitte Guldberg Spanier,2,1,1,1,1,1,1,0,0,0,,,,,,
28,Kolding,B. Det Radikale Venstre,,Merete Due Paarup,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2
26,Kolding,B. Det Radikale Venstre,,Bjørn Olsen,2,2,0,2,2,2,2,2,2,2,0,0,2,2,2,2
27,Kolding,B. Det Radikale Venstre,,Margreet Smit,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2
23,Kolding,B. Det Radikale Venstre,,Charlotte Enevoldsen ,1,2,1,2,2,2,2,0,1,1,2,2,2,1,0,2
24,Kolding,B. Det Radikale Venstre,,Jens Alfred Sørensen,2,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0
9,Kolding,B. Det Radikale Venstre,,Kenny C. Holm,1,1,0,0,1,1,1,0,0,0,0,0,0,0,2,2
1,Kolding,C. Det Konservative Folkeparti,,Jesper Termansen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
5,Kolding,D. Nye Borgerlige,,Mikael Fiurendal,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
30,Kolding,F. Socialistisk Folkeparti,,Villy søvndal,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
27,Kolding,Ø. Enhedslisten,,Ivan Balleby,2,2,2,2,2,2,2,0,2,1,2,2,0,2,2,2
22,Kolding,Ø. Enhedslisten,,Ole Maass,1,1,2,1,2,2,1,0,1,2,2,2,1,1,1,2
0,Kolding,V. Venstre,,Jakob Ville,0,0,0,0,0,0,0,0,0,0,,,,,,
29,Kolding,F. Socialistisk Folkeparti,,Jørn Chemnitz,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2
29,København,A. Socialdemokratiet,,Lone Larsen,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2
29,København,A. Socialdemokratiet,,Jonas Bjørn Jensen,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,2
26,København,A. Socialdemokratiet,,Ulla Krag,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1
26,København,A. Socialdemokratiet,,Lea Friedberg,1,1,2,2,2,2,2,0,2,2,2,2,2,0,2,2
24,København,A. Socialdemokratiet,,Maria Tranberg,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1,2
11,København,A. Socialdemokratiet,,Susan Hedlund,2,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
29,København,B. Det Radikale Venstre,,Katrine Kildgaard,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2
21,København,B. Det Radikale Venstre,,Hanne Kofoed,2,2,1,2,2,2,2,0,2,1,0,0,2,0,1,2
19,København,B. Det Radikale Venstre,,Christopher Røhl,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,2
12,København,B. Det Radikale Venstre,,Emil Sloth Andersen,1,0,1,1,1,0,1,1,1,2,0,0,1,1,0,1
11,København,B. Det Radikale Venstre,,Kim Mandix,2,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1
5,København,B. Det Radikale Venstre,,Sally Khallash,0,0,1,1,1,1,1,0,0,,,,,,,
2,København,B. Det Radikale Venstre,,Dan Kreutzfeldt,2,0,0,0,0,0,0,0,0,0,,,,,,
29,København,C. Det Konservative Folkeparti,,Peter Bjerregaard,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2
26,København,C. Det Konservative Folkeparti,,Lis Connie Langsø,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2
14,København,C. Det Konservative Folkeparti,,Andreas Petersen,2,2,1,1,1,1,1,0,0,0,2,2,0,0,0,1
11,København,C. Det Konservative Folkeparti,,Ingrid Slott,1,1,1,1,1,1,1,0,1,1,0,0,1,1,,
12,København,C. Det Konservative Folkeparti,,Lasse Vogel Andersen ,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,1
7,København,C. Det Konservative Folkeparti,,Susanne Møller,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
10,København,D. Nye Borgerlige,,Niels Peder Ravn,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,2
6,København,D. Nye Borgerlige,,Hein Christensen,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
6,København,D. Nye Borgerlige,,Jimmi Haushøj,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0
31,København,F. Socialistisk Folkeparti,,Rasmus Steenberger,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
29,København,F. Socialistisk Folkeparti,,Annika Smith,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2
28,København,F. Socialistisk Folkeparti,,Tobias Bornakke,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2
25,København,F. Socialistisk Folkeparti,,Benjamin Friis,2,2,2,1,2,,2,1,1,0,2,2,2,2,2,2
19,København,F. Socialistisk Folkeparti,,Morten Bering,2,2,1,1,1,1,2,1,1,1,2,1,1,1,0,1
16,København,F. Socialistisk Folkeparti,,Thomas Warburg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,København,G. Veganerpartiet,,Lars Corvinius Olesen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31,København,G. Veganerpartiet,,Christoffer Gertz Bech,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
32,København,G. Veganerpartiet,,Karsten Faber,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32,København,G. Veganerpartiet,,Maria Nørgaard Andersen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27,København,G. Veganerpartiet,,Ole Therkelsen,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2
15,København,I. Liberal Alliance,,Alexander Ryle,1,1,0,2,2,2,2,0,1,1,0,0,0,2,0,1
30,København,K. Kristendemokraterne,,Rolf Bjerre,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
15,København,K. Kristendemokraterne,,Gunnar Bjørn Thomsen,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
10,København,K. Kristendemokraterne,,Jesper Housgaard,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1
6,København,K. Kristendemokraterne,,Jesper Truelsen,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
31,København,O. Dansk Folkeparti,,Henrik Svendsen,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
18,København,O. Dansk Folkeparti,,Lars Vestergaard,2,2,2,1,1,1,1,1,0,0,1,1,1,1,1,2
6,København,V. Venstre,,Claus Buch,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
32,København,Ø. Enhedslisten,,Ali Hansen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,København,Ø. Enhedslisten,,Bente Møller,2,2,2,2,2,2,2,1,2,1,2,0,0,2,2,2
29,København,Ø. Enhedslisten,,Charlotte Lund,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
32,København,Ø. Enhedslisten,,Jean Thierry,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32,København,Ø. Enhedslisten,,Klaus Goldschmidt Henriksen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24,København,Ø. Enhedslisten,,Sarah Mathiesen,2,2,2,2,2,2,2,1,2,1,2,2,2,,,
28,København,Ø. Enhedslisten,,Sinem Demir,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1
19,København,Ø. Enhedslisten,,Stine Finné Toft,2,2,2,1,1,1,2,1,1,0,1,1,1,0,1,2
32,København,Å. Alternativet,,Franciska Rosenkilde,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31,København,Å. Alternativet,,Nicklas Hakmann,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
31,København,Å. Alternativet,,Martin Kjærulff,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
30,København,Å. Alternativet,,Birgitte Kehler Holst,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
31,København,Å. Alternativet,,Christina Olumeko,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
23,København,Å. Alternativet,,Kim Hjerrild,2,2,1,1,2,1,2,0,1,1,2,2,2,1,1,2
16,København,A. Socialdemokratiet,,Gitte Kristensen,2,2,2,2,2,2,2,0,1,1,,,,,,
14,København,A. Socialdemokratiet,,Mette Reissmann,1,1,1,1,1,1,1,0,1,2,0,0,1,1,1,1
28,København,D. Nye Borgerlige,,Jakob Buchwald Busk ,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0
30,København,K. Kristendemokraterne,,Nanna Bock ,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2
32,København,Ø. Enhedslisten,,Absalon Billehøj ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23,Køge,A. Socialdemokratiet,,Jonas Bjørn Whitehorn ,2,1,1,1,2,2,2,0,1,1,2,2,0,2,2,2
12,Køge,A. Socialdemokratiet,,Pernille Sylvest,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1
26,Køge,B. Det Radikale Venstre,,Søren Johansen,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,2
20,Køge,B. Det Radikale Venstre,,Mette Jorsø,2,1,2,1,2,2,2,0,1,2,2,2,1,,,
16,Køge,B. Det Radikale Venstre,,Martine Kiding,2,1,1,1,1,1,1,1,1,0,1,1,1,2,0,1
13,Køge,C. Det Konservative Folkeparti,,Jørgen Petersen,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
13,Køge,C. Det Konservative Folkeparti,,Henrik Fougt,0,1,0,2,2,2,2,0,2,2,,,,,,
7,Køge,C. Det Konservative Folkeparti,,Jeppe Lindberg,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
5,Køge,D. Nye Borgerlige,,Bo Trusbak ,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
2,Køge,D. Nye Borgerlige,,Henrik Olsen,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19,Køge,F. Socialistisk Folkeparti,,Palle Rom,2,0,2,0,0,0,0,0,2,2,2,2,2,1,2,2
17,Køge,F. Socialistisk Folkeparti,,Helmut Sørensen,2,2,2,2,2,2,2,0,2,1,,,,,,
12,Køge,K. Kristendemokraterne,,Søren Gaarde,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
6,Køge,V. Venstre,,Helle Poulsen,2,1,0,1,,,1,0,0,1,,,,,,
28,Køge,Ø. Enhedslisten,,Margrethe Pedersen,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2
32,Køge,Å. Alternativet,,Peter Kjær Hansen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,Køge,I. Liberal Alliance,,Rolf Larsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Langeland,B. Det Radikale Venstre,,Anne Mette Wandsøe,2,1,1,1,,2,,1,1,0,2,1,1,1,2,2
16,Langeland,C. Det Konservative Folkeparti,,Steen Have Otterstrøm,2,2,2,1,1,1,1,0,0,2,0,0,0,2,1,1
2,Langeland,D. Nye Borgerlige,,Lisbeth Kold,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Langeland,F. Socialistisk Folkeparti,,Ulrik Pihl,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2
7,Langeland,V. Venstre,,Jesper Skovhus,1,1,0,1,1,1,1,0,0,1,,,,,,
0,Langeland,V. Venstre,,Lars Christian Prytz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Langeland,A. Socialdemokratiet,,Britt Norre,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2
18,Langeland,O. Dansk Folkeparti,,Sandra Schmidt,2,1,1,1,1,1,1,1,2,0,2,1,2,2,0,0
28,Lejre,A. Socialdemokratiet,,Martin Stokholm,1,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2
25,Lejre,A. Socialdemokratiet,,Burak Ulrik Ulucan,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1
22,Lejre,A. Socialdemokratiet,,Jørgen Schwensen,2,2,1,2,2,2,2,0,1,1,2,1,1,1,0,2
19,Lejre,A. Socialdemokratiet,,Carsten Rasmussen,2,2,0,2,2,2,2,0,2,1,0,0,0,2,0,2
21,Lejre,B. Det Radikale Venstre,,Rie Haagen,2,1,1,2,2,2,2,0,1,1,2,0,1,0,2,2
31,Lejre,C. Det Konservative Folkeparti,,Birgitte Schytte,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
26,Lejre,C. Det Konservative Folkeparti,,Henrik Svanholm,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2
2,Lejre,D. Nye Borgerlige,,Karl Simonsen ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
26,Lejre,F. Socialistisk Folkeparti,,Knud Larsen,2,2,2,2,2,2,2,2,2,0,1,1,2,1,2,1
28,Lejre,V. Venstre,,Niels Nørrekær Mortensen,2,2,2,2,2,2,,2,2,1,2,2,2,1,2,2
15,Lejre,V. Venstre,,Hans C Kongsgaard Nielsen,1,2,1,1,1,1,1,0,0,2,2,2,0,1,0,0
30,Lejre,Ø. Enhedslisten,,Ivan Mott,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2
30,Lejre,Ø. Enhedslisten,,Nicki Jensen ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
15,Lejre,Ø. Enhedslisten,,Rolf Czeskleba-Dupont,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1
17,Lemvig,A. Socialdemokratiet,,Bent Wolder Mortensen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
8,Lemvig,A. Socialdemokratiet,,Ole Skovsgaard Daniel,0,0,0,1,1,1,1,0,1,0,0,0,0,2,1,0
6,Lemvig,A. Socialdemokratiet,,Lone Pilgaard Sørensen ,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
8,Lemvig,B. Det Radikale Venstre,,Keld Marstrand Wang,1,0,1,0,0,0,0,0,0,0,1,1,1,0,2,1
8,Lemvig,B. Det Radikale Venstre,,Gitte Winther Jeppesen,1,1,1,1,1,1,1,1,0,0,,,,,,
19,Lemvig,F. Socialistisk Folkeparti,,Jacob Hansen Rye,2,1,2,1,1,1,2,0,0,1,1,1,2,2,0,2
6,Lemvig,V. Venstre,,Mikael H. Bertelsen,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
0,Lemvig,D. Nye Borgerlige,,Allan Berg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lolland,A. Socialdemokratiet,,Niels Christian Devantier,2,2,0,2,2,2,2,0,0,1,2,2,0,2,2,2
19,Lolland,B. Det Radikale Venstre,,Talat Hussain,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1
15,Lolland,C. Det Konservative Folkeparti,,Anna Arnecke,1,1,1,1,1,1,1,0,2,1,1,1,0,2,0,1
28,Lolland,F. Socialistisk Folkeparti,,Frank Gravesen,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2
17,Lolland,O. Dansk Folkeparti,,Allan Blak,1,1,1,2,2,2,2,0,1,1,0,0,1,1,1,1
17,Lolland,O. Dansk Folkeparti,,Eric Steffensen,2,1,2,1,2,2,2,0,0,0,1,1,0,2,0,1
1,Lolland,O. Dansk Folkeparti,,Henning Gunnar Errebo Rasmussen,0,1,0,0,0,0,0,0,0,0,,,,,,
11,Lolland,V. Venstre,,Benny Damgaard,1,1,1,1,1,1,1,0,1,2,0,0,0,0,1,0
13,Lolland,Ø. Enhedslisten,,Birthe Lauridsen,2,2,1,0,2,2,2,0,1,0,0,0,0,0,0,1
31,Lolland,Å. Alternativet,,Ulla Munksgaard,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
0,Lolland,C. Det Konservative Folkeparti,,Henrik Jacobsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Lolland,A. Socialdemokratiet,,Leif Utermöhl ,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1
28,Lyngby-Taarbæk,B. Det Radikale Venstre,,Johan Emil Løje,2,2,2,2,2,2,2,1,2,1,2,2,2,0,2,2
25,Lyngby-Taarbæk,B. Det Radikale Venstre,,Ole Møller,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1
24,Lyngby-Taarbæk,B. Det Radikale Venstre,,Susanne Hjernøe,2,1,2,1,2,2,1,1,2,0,2,2,1,1,2,2
17,Lyngby-Taarbæk,B. Det Radikale Venstre,,Gitte Kjær-Westermann,1,2,1,1,1,2,1,1,2,1,0,0,1,1,1,1
31,Lyngby-Taarbæk,C. Det Konservative Folkeparti,,Maria Svane ,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
25,Lyngby-Taarbæk,C. Det Konservative Folkeparti,,Shahin Yazdi Sotoudeh,1,2,2,2,2,2,2,1,1,2,0,2,1,1,2,2
23,Lyngby-Taarbæk,C. Det Konservative Folkeparti,,Christian Winther,2,2,2,2,2,2,2,2,2,1,0,0,1,1,1,1
10,Lyngby-Taarbæk,C. Det Konservative Folkeparti,,Tonni Hyldgaard,1,1,0,1,1,0,1,0,0,0,2,0,2,0,0,1
9,Lyngby-Taarbæk,C. Det Konservative Folkeparti,,Casper Strunge,0,2,0,0,0,0,1,0,1,2,1,0,0,2,0,0
30,Lyngby-Taarbæk,F. Socialistisk Folkeparti,,Anne Grete Bülow,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
27,Lyngby-Taarbæk,F. Socialistisk Folkeparti,,Karen Marie Pagh Nielsen,2,2,1,2,2,2,2,1,2,1,2,2,2,,2,2
28,Lyngby-Taarbæk,F. Socialistisk Folkeparti,,Niels Haxthausen,2,2,2,2,2,2,2,2,2,0,2,2,1,2,1,2
23,Lyngby-Taarbæk,F. Socialistisk Folkeparti,,Inge Duus Hjortlund,2,1,2,1,2,1,2,0,1,0,2,2,1,2,2,2
23,Lyngby-Taarbæk,F. Socialistisk Folkeparti,,Sigurd Agersnap,2,2,0,2,2,2,2,1,2,0,2,2,1,0,1,2
21,Lyngby-Taarbæk,F. Socialistisk Folkeparti,,Dorete Dandanell,2,2,2,1,,2,1,1,1,1,2,1,1,0,2,2
27,Lyngby-Taarbæk,G. Veganerpartiet,,Helene Toksværd,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2
11,Lyngby-Taarbæk,V. Venstre,,Kersi Porbunderwalla,1,1,2,0,0,0,,0,1,0,2,2,1,0,0,1
9,Lyngby-Taarbæk,V. Venstre,,Niels Jørgen Christensen,0,0,0,1,1,1,1,1,0,2,0,0,1,0,0,1
0,Lyngby-Taarbæk,I. Liberal Alliance,,Thomas Frederiksen,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0
21,Lyngby-Taarbæk,C. Det Konservative Folkeparti,,Charlotte Shafer,2,1,1,1,1,1,1,0,2,2,1,2,1,1,2,2
0,Lyngby-Taarbæk,C. Det Konservative Folkeparti,,Christine Bernt Henriksen ,0,0,0,0,0,0,0,0,0,,,,,,,
22,Læsø,A. Socialdemokratiet,,Folmer Hjorth Kristensen,2,2,1,2,2,2,1,1,1,0,2,2,1,0,1,2
1,Læsø,C. Det Konservative Folkeparti,,Karsten Skov Petersen,1,0,0,0,,0,,0,0,0,0,0,0,0,,
12,Mariagerfjord,A. Socialdemokratiet,,Jane Grøn,2,2,2,1,1,1,1,0,1,1,,,,,,
11,Mariagerfjord,B. Det Radikale Venstre,,Heidi Vive,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
31,Mariagerfjord,F. Socialistisk Folkeparti,,Peder Larsen,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
29,Mariagerfjord,F. Socialistisk Folkeparti,,Thorbjørn Boldsen,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
5,Mariagerfjord,V. Venstre,,Mogens Jespersen,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
5,Mariagerfjord,V. Venstre,,Helle Mølgaard,0,0,1,1,1,1,1,0,0,0,,,,,,
