Navn,Storkreds,Parti,Kost,Score,"Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener -  daginstitutioner","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - Uddannelsesinstitutioner (skoler, universiteter, o.l.)","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - Hospitaler og sygehuse","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - Plejehjem, plejecentre og offentlig madudbringning til ældre","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - Offentlige arbejdspladser","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - ALLE offentlige køkkener (både de ovenfor nævnte og andre)",Alle offentlige køkkener skal pålægges at reducere deres CO2-udslip fra mad og måltider med 25% i 2025.,Alle offentlige køkkener skal pålægges at reducere deres CO2-udslip fra mad og måltider med 50% i 2030.,"En øremærket pulje til efteruddannelse af køkkenpersonale skal sikre, at alle madprofessionelle ved, hvordan de tilbereder klimavenlig, plantebaseret mad.",Lægeuddannelsen skal indeholde et obligatorisk fag om forebyggelse af sygdomme gennem mere plantebaseret kost.,"Der skal være en plantebaseret kokkeuddannelse i Danmark, så den grønne gastronomi kan blive udviklet.",Fødevarestyrelsen skal have flere midler til at styrke deres faglige ressourcer til at rådgive om plantebaseret ernæring.,"Det skal sikres, at myndighederne på altomkost.dk vejleder konstruktivt i plantebaseret kost, herunder også sikrer konstruktiv vejledning til veganske børnefamilier.",Momsen på frugt og grønt skal sænkes.,"Der skal være en klimaafgift på alle fødevarer, der afspejler deres drivhusgasudledning.",Der skal være en klimaafgift specifikt på alle animalske fødevarer,"Finansielle institutioner (banker, pensionskasser og investeringsrådgivere, långivere etc.) skal pålægges hvert år at afrapportere, hvordan deres porteføljer, produkter og långivning bidrager til grøn omstilling af landbruget, herunder især fra animalsk til plantebaseret produktion.","Fonden for Plantebaserede Fødevarer skal have mindst 200 mio. kr. ekstra årligt udover de eksisterende 85 mio. kr. årligt, så niveauet i højere grad svarer til omfanget af den nødvendige omstilling.","Forskningsmidler indenfor fødevarer skal omlægges til i højere grad at fokusere på klimavenlige, plantebaserede fødevarer frem for animalske.","Den danske animalske landbrugsproduktion står for en stor andel af den samlede danske drivhusgasudledning. Derfor skal antallet af landbrugsdyr (svin, kyllinger, køer, osv.) mindskes til halvdelen af det nuværende antal i 2030.","Landmænd, der vil omlægge deres produktion til flere plantebaserede afgrøder til mennesker, skal kunne modtage gratis efteruddannelse.","Støtteordninger til fødevareerhvervet skal omlægges til i højere grad at støtte klimavenlige, plantebaserede fødevarer frem for animalske.",Kost_color
Anders Andreasen (A),Vestjyllands Storkreds,A. Socialdemokratiet,Ved ikke / har ikke taget stilling,10,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,grey
Anders Højsted  (B),Københavns Storkreds,B. Det Radikale Venstre,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",14,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",red
Anders Krojgaard Lund (C),Østjyllands Storkreds,C. Det Konservative Folkeparti,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",2,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,red
Anders Ladegaard Bork (O),Sjællands Storkreds,O. Dansk Folkeparti,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",3,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,red
Anders Ladegaard Marchsteiner (Ø),Sjællands Storkreds,Ø. Enhedslisten,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",12,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",turquoise
Anders Pedersen  (Ø),Østjyllands Storkreds,Ø. Enhedslisten,"Spiser fisk, men derudover kun vegetarisk, aldrig kød, kødpålæg og fjerkræ",27,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,blue
Anders Vistisen (O),Østjyllands Storkreds,O. Dansk Folkeparti,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",5,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,red
Andreas Bæk (F),Københavns Storkreds,F. Socialistisk Folkeparti,Ved ikke / har ikke taget stilling,5,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,grey
Andreas Grosbøll (F),Bornholms Storkreds,F. Socialistisk Folkeparti,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",20,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Ane Line Søndergaard (Å),Sydjyllands Storkreds,Å. Alternativet,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",34,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Anette Jensen Smith (Å),Nordjyllands Storkreds,Å. Alternativet,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",28,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,red
Anna Astrid Høy-Nielsen (Å),Fyns Storkreds,Å. Alternativet,Spiser kun vegansk,34,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"rgb(16,114,60)"
Anna Brændemose (F),Østjyllands Storkreds,F. Socialistisk Folkeparti,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",23,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Anne Hegelund  (Ø),Østjyllands Storkreds,Ø. Enhedslisten,Spiser kun vegansk,34,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"rgb(16,114,60)"
Anne Marie Geisler Andersen (B),Sydjyllands Storkreds,B. Det Radikale Venstre,Ved ikke / har ikke taget stilling,1,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,grey
Anne Rasmussen (V),Københavns Storkreds,V. Venstre,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",11,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,turquoise
Annie Hagel (Ø),Nordjyllands Storkreds,Ø. Enhedslisten,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",26,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Annika Martins (Å),Københavns Storkreds,Å. Alternativet,"Spiser fisk, men derudover kun vegetarisk, aldrig kød, kødpålæg og fjerkræ",24,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,blue
Astrid Reese Fogh (Å),Sydjyllands Storkreds,Å. Alternativet,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",26,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Balder Mørk Andersen (F),Københavns Storkreds,F. Socialistisk Folkeparti,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",9,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,turquoise
Benjamin Jørgensen (F),Nordjyllands Storkreds,F. Socialistisk Folkeparti,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",26,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
